id,happiness,survey_type,province,gender,nationality,religion,religion_freq,edu,income,political,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_type,work_manage,family_income,family_status,car,marital
1,3,1.0,4,1,1,1,1,9.0,70000.0,1,3,5,4,5,3,3,2,2,5,5,,,,200000.0,2,2,3
2,4,1.0,4,2,1,1,1,11.0,50000.0,1,3,3,2,2,2,5,2,2,3,1,3.0,1.0,3.0,50000.0,1,2,3
3,4,,4,1,1,1,6,3.0,10000.0,1,5,5,5,1,2,3,1,4,4,1,8.0,1.0,4.0,10000.0,3,1,7
4,4,,4,1,1,1,1,6.0,60000.0,4,3,4,2,2,2,4,4,4,1,1,3.0,1.0,3.0,150000.0,2,1,3
5,4,,4,2,1,1,2,12.0,2000.0,2,3,3,4,2,3,3,5,3,5,5,,,,200000.0,4,1,2
6,4,1.0,4,2,1,1,1,12.0,0.0,1,5,5,3,2,4,4,4,2,6,5,,,,1000000.0,4,1,6
7,4,,4,2,1,1,1,12.0,150000.0,1,4,4,4,2,3,3,3,2,4,1,3.0,1.0,2.0,200000.0,2,1,3
8,4,1.0,4,1,5,0,1,4.0,40000.0,4,3,4,2,1,2,4,4,3,1,4,,,,60000.0,1,2,3
9,4,1.0,4,1,1,1,1,10.0,100000.0,4,5,4,4,2,1,4,1,4,5,1,3.0,2.0,3.0,165000.0,3,1,3
10,4,,4,1,1,1,1,12.0,120000.0,4,5,5,5,2,3,4,2,4,5,1,9.0,1.0,2.0,200000.0,2,1,4
11,4,,4,2,1,1,1,6.0,20000.0,1,2,2,2,5,3,3,1,1,3,5,,,,50000.0,2,2,3
12,4,,4,1,1,0,1,4.0,-2.0,1,3,3,4,5,1,4,3,4,4,5,,,,-3.0,3,2,7
13,4,,4,2,1,1,3,12.0,100000.0,2,4,5,3,1,2,4,4,4,4,1,3.0,1.0,3.0,100000.0,3,2,1
14,5,,4,1,1,0,6,6.0,100000.0,1,4,5,4,1,3,4,3,4,10,1,1.0,1.0,1.0,200000.0,3,1,3
15,4,,4,1,1,1,1,6.0,30000.0,1,3,5,4,5,2,2,3,3,1,1,3.0,1.0,3.0,80000.0,1,2,3
16,4,,4,1,1,1,1,12.0,90000.0,1,5,5,5,2,3,4,3,3,5,1,3.0,1.0,3.0,150000.0,3,2,1
17,4,,4,2,1,1,1,9.0,50000.0,1,4,5,5,2,4,4,4,2,8,1,3.0,1.0,2.0,50000.0,3,1,1
18,4,,4,2,1,1,1,12.0,200000.0,1,4,5,5,5,4,4,4,4,5,1,3.0,1.0,2.0,-1.0,3,1,1
19,4,,4,1,1,0,2,10.0,200000.0,1,4,3,4,2,3,4,4,2,6,1,8.0,1.0,2.0,300000.0,2,1,4
20,5,,4,1,1,1,1,7.0,100000.0,1,4,5,4,2,4,5,3,2,5,1,3.0,1.0,3.0,300000.0,3,1,2
21,4,1.0,4,1,1,1,1,7.0,45000.0,1,3,3,2,2,2,3,3,4,1,1,4.0,1.0,2.0,50000.0,3,1,3
22,4,,4,2,4,0,3,6.0,36000.0,1,4,5,3,5,3,3,1,1,1,1,3.0,1.0,3.0,72000.0,2,2,3
23,4,,4,1,1,1,1,4.0,-2.0,1,5,5,5,1,3,2,2,1,3,1,3.0,1.0,3.0,-3.0,2,2,3
24,5,1.0,4,2,1,1,1,10.0,100000.0,2,3,4,4,4,4,3,3,2,3,1,3.0,1.0,2.0,300000.0,3,1,3
25,5,2.0,4,2,1,1,1,10.0,80000.0,1,4,5,5,4,2,4,3,4,5,1,9.0,1.0,3.0,-1.0,3,1,3
26,4,,4,1,1,1,1,12.0,1000.0,2,4,4,4,2,2,4,3,2,6,6,,,,-1.0,-1,1,1
27,3,,4,2,1,0,1,4.0,-2.0,1,5,5,4,1,2,2,3,3,3,1,3.0,1.0,3.0,-3.0,2,1,2
28,4,,4,1,1,1,1,12.0,100000.0,1,3,5,3,2,1,4,4,4,3,1,1.0,1.0,1.0,100000.0,-1,1,3
29,5,,4,2,4,0,1,6.0,40000.0,1,4,4,5,1,1,3,2,5,1,1,3.0,1.0,3.0,50000.0,3,1,6
30,2,,4,2,1,1,1,9.0,36000.0,1,2,3,3,2,2,4,3,2,2,5,,,,80000.0,2,2,3
31,4,2.0,4,1,1,0,2,4.0,55000.0,1,5,5,5,1,2,4,2,2,5,1,4.0,1.0,3.0,70000.0,2,1,3
32,4,1.0,4,1,1,1,1,4.0,48000.0,1,3,3,4,5,2,4,2,1,4,5,,,,50000.0,3,2,3
33,4,,4,1,1,0,1,4.0,40000.0,1,5,5,5,1,1,1,1,2,2,1,2.0,1.0,4.0,80000.0,1,1,3
34,4,,4,1,1,1,1,6.0,40000.0,1,3,5,5,4,1,1,1,3,3,5,,,,40000.0,3,2,3
35,4,2.0,4,1,1,1,1,12.0,8000.0,2,3,5,5,1,5,3,5,3,5,1,3.0,1.0,3.0,10000.0,2,2,1
36,4,,4,1,1,1,1,12.0,0.0,2,4,5,4,8,2,4,3,4,3,1,3.0,2.0,3.0,100000.0,3,2,1
37,5,,4,2,1,1,1,4.0,-2.0,1,5,5,5,5,1,4,1,2,6,1,1.0,1.0,1.0,-3.0,3,1,3
38,5,,4,2,1,1,1,12.0,70000.0,4,3,5,4,4,2,4,4,4,6,1,3.0,1.0,2.0,140000.0,3,1,3
39,4,,4,1,3,1,3,11.0,60000.0,4,4,5,5,4,2,4,3,4,5,3,,,,100000.0,3,1,3
40,2,,4,1,1,1,5,6.0,40000.0,1,4,5,3,1,2,4,4,2,2,1,8.0,1.0,3.0,100000.0,2,2,1
