id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
1,4,1,12,32,59,16651,1,1959,1,1,1,11,20000.0,1,45.0,176.0,155.0,3,2,5,5,2,4,3,3,3,60000.0,2,2,1,2,3,3,2,4,3
2,4,2,18,52,85,16637,1,1992,1,1,1,12,20000.0,1,110.0,170.0,110.0,5,4,3,1,2,4,3,3,6,40000.0,3,4,1,2,1,1,1,4,2
3,4,2,29,83,126,16637,2,1967,1,0,3,4,2000.0,1,120.0,160.0,122.0,4,4,5,1,3,4,2,4,5,8000.0,3,3,1,2,3,2,1,4,2
4,5,2,10,28,51,16641,2,1943,1,1,1,3,6420.0,1,78.0,163.0,170.0,4,4,4,1,2,4,4,4,5,12000.0,3,3,1,1,7,2,1,3,2
5,4,1,7,18,36,16657,2,1994,1,1,1,12,35259.56261583267,2,70.0,165.0,110.0,5,5,3,2,4,3,4,2,1,73913.19252285441,4,3,1,1,1,3,2,3,2
6,5,2,18,52,86,16634,1,1946,1,1,1,2,5000.0,1,300.0,172.0,140.0,5,5,4,1,3,3,2,4,8,5000.0,2,3,1,2,3,3,1,4,3
7,4,1,10,27,49,16642,1,1963,1,1,1,4,35259.56261583267,4,89.0,160.0,120.0,2,2,2,2,1,3,1,4,2,73913.19252285441,3,2,1,2,3,3,2,4,3
8,4,1,11,31,54,16635,1,1959,1,0,8,4,35259.56261583267,1,130.0,176.0,140.0,3,5,5,2,3,3,3,4,2,73913.19252285441,2,3,1,2,3,2,2,4,2
9,4,2,28,81,122,16648,1,1952,1,1,1,3,1600.0,1,36.0,175.0,95.0,2,2,2,1,2,2,1,4,3,1600.0,1,2,1,2,1,3,2,3,3
10,4,2,24,70,110,16650,1,1985,1,1,1,3,60000.0,1,80.0,172.0,140.0,4,5,4,1,3,3,2,4,5,60000.0,5,3,1,1,3,2,2,3,2
11,4,1,6,15,31,16656,2,1988,1,1,1,6,24000.0,1,200.0,165.0,100.0,4,4,5,1,3,3,1,4,4,60000.0,5,3,1,2,3,2,2,4,2
12,4,2,23,69,109,16701,1,1968,1,0,3,1,8000.0,1,199.0,173.0,120.0,4,2,2,1,4,4,1,2,6,16500.0,3,3,3,2,3,3,1,4,2
13,4,1,21,64,100,16634,1,1964,1,1,3,10,36000.0,4,80.0,171.0,120.0,4,5,4,2,2,3,3,3,4,36000.0,2,2,1,2,3,2,1,5,2
14,2,1,4,7,14,16726,2,1939,1,1,1,3,40000.0,1,56.0,156.0,115.0,1,1,1,5,1,2,1,3,1,90000.0,2,3,1,2,3,2,3,3,2
15,4,2,15,41,72,16631,2,1935,1,0,4,1,1000.0,1,40.0,147.0,70.0,1,3,3,1,3,1,1,5,2,30000.0,4,3,1,2,3,3,2,3,2
16,4,2,29,82,124,16638,1,1983,1,1,1,4,45000.0,1,120.0,182.0,180.0,4,5,3,1,3,4,1,4,6,50000.0,5,3,1,2,3,2,1,5,2
17,4,1,6,16,32,16657,2,1974,1,0,4,4,0.0,2,63.0,162.0,120.0,2,3,3,1,2,4,2,2,5,36000.0,3,3,1,2,3,2,2,3,2
18,4,2,31,87,131,16664,2,1962,1,0,8,6,0.0,1,90.0,155.0,90.0,2,2,3,1,3,4,2,2,1,20000.0,1,3,1,2,3,2,1,4,2
19,4,1,4,7,16,16726,1,1976,1,1,1,7,100000.0,1,77.0,170.0,135.0,5,5,5,4,3,3,3,4,6,200000.0,5,3,1,1,3,2,2,3,2
20,5,1,4,7,22,16689,1,1965,1,1,1,4,100000.0,4,91.0,175.0,160.0,5,5,5,2,4,4,4,4,6,100000.0,4,3,2,1,3,2,1,3,2
21,4,1,27,79,119,16641,1,1951,3,1,1,4,25000.0,1,71.0,165.0,130.0,2,2,3,2,3,4,1,2,3,80000.0,5,2,1,2,3,2,2,5,2
22,5,2,9,21,43,16621,2,1948,1,1,1,1,2000.0,1,100.0,160.0,120.0,1,2,2,1,2,3,1,4,1,20000.0,6,3,1,1,3,3,3,4,2
23,4,1,21,62,98,16634,2,1980,1,1,1,3,5000.0,1,220.0,154.0,90.0,4,4,3,1,4,3,1,4,5,40000.0,5,2,1,2,3,2,2,4,3
24,4,1,19,57,92,16633,1,1942,1,1,1,6,48000.0,1,80.0,172.0,120.0,3,3,3,4,2,4,1,4,7,48000.0,1,3,0,2,3,1,1,3,2
25,4,1,12,32,58,16680,1,1956,1,1,1,6,35259.56261583267,1,63.0,165.0,70.0,4,5,5,2,2,4,4,1,4,90000.0,3,3,1,2,3,2,2,4,2
26,4,1,26,76,116,16725,2,1970,1,1,1,4,20000.0,1,80.0,156.0,100.0,4,4,4,2,3,3,3,4,3,60000.0,2,2,1,2,3,2,2,3,2
27,5,1,17,48,80,16646,2,1966,1,1,1,4,19200.0,1,117.0,161.0,126.0,4,5,3,1,3,4,2,4,6,100000.0,1,3,2,2,3,2,2,4,2
28,4,1,31,88,133,16666,2,1963,1,1,1,4,10000.0,1,79.0,158.0,140.0,3,3,3,2,3,3,1,4,5,20000.0,2,2,1,2,3,3,1,4,2
29,3,1,4,7,19,16711,1,1992,1,1,1,10,40000.0,2,140.0,182.0,135.0,4,4,3,1,4,4,4,2,4,40000.0,1,2,0,2,1,2,1,2,2
30,5,2,18,53,87,16631,1,1947,1,1,1,1,3000.0,1,80.0,168.0,110.0,2,2,3,1,4,4,1,4,4,40000.0,2,2,1,2,3,3,1,4,2
31,4,1,4,7,21,16697,1,1979,1,1,2,11,80000.0,1,57.0,171.0,146.0,4,4,3,2,2,3,3,4,6,170000.0,2,3,1,1,3,2,1,3,3
32,4,1,27,80,120,16645,2,1965,1,1,1,4,20000.0,1,90.0,175.0,100.0,4,4,4,2,2,2,2,4,5,40000.0,2,4,1,2,3,2,1,4,2
33,4,1,4,7,20,16709,1,1926,1,1,1,12,100000.0,1,70.0,170.0,120.0,2,2,2,2,1,5,1,4,10,150000.0,3,4,1,2,3,1,2,3,2
34,4,1,16,46,77,16643,2,1987,1,1,1,4,150000.0,1,240.0,168.0,98.0,5,4,4,1,3,3,3,3,5,150000.0,2,2,0,2,3,2,1,3,2
35,4,2,9,21,43,16622,2,1937,1,0,3,1,660.0,4,40.0,150.0,80.0,2,3,3,1,2,3,1,4,4,10000.0,2,2,1,2,3,3,2,3,2
36,4,1,15,39,70,16626,1,1957,1,1,1,4,20000.0,1,25.0,172.0,150.0,4,3,3,1,3,4,1,4,2,30000.0,1,3,1,2,3,2,2,3,2
37,4,1,5,8,23,16646,2,1969,1,0,1,4,60000.0,1,70.0,165.0,105.0,5,4,4,2,3,3,3,2,6,80000.0,2,4,1,2,3,2,2,4,2
38,3,1,26,75,115,16654,1,1960,1,1,1,6,15600.0,1,24.2,173.0,135.0,4,4,4,2,3,3,2,2,4,15600.0,1,2,1,2,6,3,2,4,2
39,5,1,27,77,117,16637,2,1971,1,1,1,10,35259.56261583267,1,180.0,160.0,120.0,4,5,5,5,4,4,3,4,8,73913.19252285441,4,3,1,1,3,2,1,4,2
40,4,1,28,81,123,16645,2,1960,1,1,1,3,15000.0,1,180.0,160.0,105.0,5,4,4,5,2,4,4,4,4,35000.0,2,3,1,2,3,2,1,4,2
41,4,2,2,2,9,16639,2,1973,8,0,3,4,12000.0,1,300.0,169.0,120.0,4,3,3,1,3,3,3,4,6,35000.0,4,3,1,2,3,2,2,3,2
